image_path,labels
/home/piai/바탕화면/현장_3066/00001-20-0002_1.png,"[54, 192, 202]"
/home/piai/바탕화면/현장_3066/00001-20-0003_1.png,"[28, 149, 150, 152]"
/home/piai/바탕화면/현장_3066/00001-20-0006_1.png,"[60, 149, 150, 211]"
/home/piai/바탕화면/현장_3066/00001-20-0007_1.png,"[41, 42, 104, 117, 124]"
/home/piai/바탕화면/현장_3066/00001-20-0008_1.png,"[40, 78, 117, 171]"
/home/piai/바탕화면/현장_3066/00001-20-0008_2.png,"[40, 41, 117, 166, 171]"
/home/piai/바탕화면/현장_3066/00001-20-0016_1.png,"[34, 73, 171, 173]"
/home/piai/바탕화면/현장_3066/00001-20-0020_1.png,"[80, 234]"
/home/piai/바탕화면/현장_3066/00001-20-0021_1.png,"[127, 166, 214, 216]"
/home/piai/바탕화면/현장_3066/00001-20-0025_1.png,"[78, 117]"
/home/piai/바탕화면/현장_3066/00001-20-0026_1.png,"[30, 76, 150, 223]"
/home/piai/바탕화면/현장_3066/00001-20-0028_1.png,"[12, 127, 128, 166, 217, 256]"
/home/piai/바탕화면/현장_3066/00001-20-0035_1.png,[73]
/home/piai/바탕화면/현장_3066/00001-20-0043_1.png,"[99, 128]"
/home/piai/바탕화면/현장_3066/00001-20-0044_1.png,[73]
/home/piai/바탕화면/현장_3066/00001-20-0044_2.png,[73]
/home/piai/바탕화면/현장_3066/00001-20-0054_1.png,"[41, 117, 224, 256]"
/home/piai/바탕화면/현장_3066/00001-20-0055_2.png,"[35, 73, 165]"
/home/piai/바탕화면/현장_3066/00001-20-0058_1.png,"[35, 73, 165]"
/home/piai/바탕화면/현장_3066/00001-20-0060_1.png,"[42, 52, 57, 150, 151, 171, 224]"
/home/piai/바탕화면/현장_3066/00001-20-0061_1.png,"[50, 73, 117, 192]"
/home/piai/바탕화면/현장_3066/00001-20-0063_1.png,"[35, 73, 165]"
/home/piai/바탕화면/현장_3066/00001-20-0063_2.png,"[35, 73, 165]"
/home/piai/바탕화면/현장_3066/00001-20-0063_3.png,[73]
/home/piai/바탕화면/현장_3066/00001-20-0063_4.png,[73]
/home/piai/바탕화면/현장_3066/00001-20-0065_1.png,"[35, 117, 165]"
/home/piai/바탕화면/현장_3066/00001-20-0066_1.png,"[50, 74, 192]"
/home/piai/바탕화면/현장_3066/00001-20-0067_1.png,"[35, 73, 166, 168]"
/home/piai/바탕화면/현장_3066/00001-20-0067_2.png,"[37, 165, 166, 168, 224, 256]"
/home/piai/바탕화면/현장_3066/00001-20-0068_1.png,"[45, 73, 165, 171]"
/home/piai/바탕화면/현장_3066/00001-20-0070_1.png,"[20, 117, 124, 174, 243]"
/home/piai/바탕화면/현장_3066/00001-20-0071_1.png,"[35, 73, 124, 165, 166, 216, 219]"
/home/piai/바탕화면/현장_3066/00001-20-0073_1.png,"[73, 74]"
/home/piai/바탕화면/현장_3066/00001-20-0074_1.png,"[41, 117, 124]"
/home/piai/바탕화면/현장_3066/00001-20-0075_1.png,[76]
/home/piai/바탕화면/현장_3066/00001-20-0075_2.png,[76]
/home/piai/바탕화면/현장_3066/00001-20-0079_1.png,"[54, 73, 202]"
/home/piai/바탕화면/현장_3066/00001-20-0084_1.png,"[54, 200, 202, 208, 217]"
/home/piai/바탕화면/현장_3066/00001-20-0084_2.png,"[200, 208, 217]"
/home/piai/바탕화면/현장_3066/00001-20-0084_3.png,"[200, 208, 217]"
/home/piai/바탕화면/현장_3066/00001-20-0086_1.png,[74]
/home/piai/바탕화면/현장_3066/00001-20-0087_1.png,"[74, 166]"
/home/piai/바탕화면/현장_3066/00001-20-0091_1.png,"[73, 120]"
/home/piai/바탕화면/현장_3066/00001-20-0092_1.png,"[10, 73, 122, 166, 186, 234]"
/home/piai/바탕화면/현장_3066/00001-20-0093_1.png,"[127, 214, 215]"
/home/piai/바탕화면/현장_3066/00001-20-0096_1.png,"[73, 120, 165, 170]"
/home/piai/바탕화면/현장_3066/00001-20-0097_1.png,"[122, 149, 150, 195]"
/home/piai/바탕화면/현장_3066/00001-20-0098_1.png,"[120, 170]"
